Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bhaiya-bhabhi-rakhi-hamper,Bhaiya Bhabhi Rakhi Hamper,"<h2 data-start=""0"" data-end=""29"">Bhaiya Bhabhi Rakhi Hamper</h2>
<p data-start=""31"" data-end=""322"">Celebrate the beautiful bond of Raksha Bandhan with our thoughtfully curated <strong data-start=""108"" data-end=""138"">Bhaiya Bhabhi Rakhi Hamper</strong>. Designed to make your Bhaiya and Bhabhi feel truly special, this hamper combines festive essentials with elegant anti-tarnish jewellery, beautifully packed in our signature gift box.</p>
<h3 data-start=""324"" data-end=""343"">What's Included</h3>
<ol data-start=""345"" data-end=""610"">
<li data-start=""345"" data-end=""391"">One Pair of Handmade Bhaiya-Bhabhi Rakhis</li>
<li data-start=""392"" data-end=""417"">One Roli &amp; Tikka Set</li>
<li data-start=""418"" data-end=""455"">One Anti-Tarnish Adjustable Ring</li>
<li data-start=""456"" data-end=""484"">One Trending Neck Chain</li>
<li data-start=""485"" data-end=""515"">One Regular-Size Bracelet</li>
<li data-start=""516"" data-end=""541"">One Pair of Earrings</li>
<li data-start=""542"" data-end=""579"">One Raksha Bandhan Greeting Card</li>
</ol>
<h3 data-start=""612"" data-end=""631"">Premium Quality</h3>
<p data-start=""633"" data-end=""900"">• All jewellery pieces are <strong data-start=""660"" data-end=""676"">anti-tarnish</strong> and <strong data-start=""681"" data-end=""695"">waterproof</strong>.<br data-start=""696"" data-end=""699"">• Crafted from premium-quality materials for long-lasting shine.<br data-start=""763"" data-end=""766"">• Skin-friendly and comfortable for everyday wear.<br data-start=""816"" data-end=""819"">• Every hamper is carefully handpicked and beautifully packed by House of Yeashi.</p>
<h3 data-start=""902"" data-end=""917"">Please Note</h3>
<p data-start=""919"" data-end=""1173"">• The products shown in the images are for reference only.<br data-start=""977"" data-end=""980"">• You may not receive the exact same jewellery designs as shown.<br data-start=""1044"" data-end=""1047"">• Every hamper is hand-curated using our bestselling, premium-quality pieces, ensuring you receive the best quality and value.</p>",House of Yeashi,,Rakshabandhan,Rakshabandhan,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,1099.00,1399.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2200.png?v=1785070120,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
celebration-rakhi-hamper,Celebration Rakhi Hamper,"<p data-start=""29"" data-end=""302"">Celebrate Raksha Bandhan with our thoughtfully curated <strong data-start=""84"" data-end=""112"">Celebration Rakhi Hamper</strong>, filled with premium anti-tarnish jewellery and trending accessories. Beautifully packed in a cute gift box with a small bow, this hamper is ready to make your loved one feel extra special.</p>
<h3 data-start=""304"" data-end=""323"">What's Included</h3>
<ol data-start=""325"" data-end=""548"">
<li data-start=""325"" data-end=""355"">One Clover Chain Bracelet</li>
<li data-start=""356"" data-end=""384"">One Trending Neck Chain</li>
<li data-start=""385"" data-end=""419"">One Trending Heart Neck Chain</li>
<li data-start=""420"" data-end=""446"">One Adjustable V Ring</li>
<li data-start=""447"" data-end=""472"">One Pair of Earrings</li>
<li data-start=""473"" data-end=""492"">Two Scrunchies</li>
<li data-start=""493"" data-end=""512"">Two Hair Clips</li>
<li data-start=""513"" data-end=""548"">One Raksha Bandhan Greeting Card</li>
</ol>
<h3 data-start=""550"" data-end=""569"">Premium Quality</h3>
<p data-start=""571"" data-end=""819"">• All jewellery pieces are <strong data-start=""598"" data-end=""614"">anti-tarnish</strong> and <strong data-start=""619"" data-end=""633"">waterproof</strong>.<br data-start=""634"" data-end=""637"">• Crafted from premium-quality materials for long-lasting shine.<br data-start=""701"" data-end=""704"">• Trendy, elegant designs suitable for everyday wear.<br data-start=""757"" data-end=""760"">• Beautifully packed in a premium gift box with a cute bow.</p>
<h3 data-start=""821"" data-end=""836"">Please Note</h3>
<p data-start=""838"" data-end=""1077"">• The products shown in the images are for reference only.<br data-start=""896"" data-end=""899"">• You may not receive the exact same designs as shown.<br data-start=""953"" data-end=""956"">• Every hamper is handpicked with our bestselling, premium-quality pieces, ensuring you receive the best style and value.</p>",House of Yeashi,,Rakshabandhan,Rakshabandhan,true,Title,Default Title,,,,,,,,,0.0,shopify,20,deny,manual,1099.00,1299.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2214.png?v=1785069808,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
celebration-rakhi-hamper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2215.png?v=1785069808,2,"",,,,,,,,,,,,,,,,,,,,,
rakshabandhan-celebration-hamper,Signature Rakhi Hamper,"<h2 data-start=""0"" data-end=""27"">Celebration Rakhi Hamper</h2>
<p data-start=""29"" data-end=""270"">Celebrate the beautiful bond of Raksha Bandhan with our thoughtfully curated <strong data-start=""106"" data-end=""134"">Celebration Rakhi Hamper</strong>. Filled with premium anti-tarnish jewellery and elegant accessories, this hamper is designed to make your loved one feel truly special.</p>
<h3 data-start=""272"" data-end=""291"">What's Included</h3>
<ol data-start=""293"" data-end=""584"">
<li data-start=""293"" data-end=""328"">One Pair of Statement Earrings</li>
<li data-start=""329"" data-end=""357"">One Trending Neck Chain</li>
<li data-start=""358"" data-end=""382"">One Adjustable Ring</li>
<li data-start=""383"" data-end=""414"">One Large Flower Hair Clip</li>
<li data-start=""415"" data-end=""446"">One Small Flower Hair Clip</li>
<li data-start=""447"" data-end=""465"">One Bag Charm</li>
<li data-start=""466"" data-end=""496"">One Anti-Tarnish Bracelet</li>
<li data-start=""497"" data-end=""526"">One Adjustable Hand Cuff</li>
<li data-start=""527"" data-end=""564"">One Raksha Bandhan Greeting Card</li>
<li data-start=""565"" data-end=""584"">One Fairy Light</li>
<li data-start=""565"" data-end=""584"">Reusable Pink Magnetic Box</li>
</ol>
<h3 data-start=""586"" data-end=""605"">Premium Quality</h3>
<p data-start=""607"" data-end=""871"">• All jewellery pieces are <strong data-start=""634"" data-end=""650"">anti-tarnish</strong> and <strong data-start=""655"" data-end=""669"">waterproof</strong>.<br data-start=""670"" data-end=""673"">• Crafted from high-quality materials for long-lasting shine.<br data-start=""734"" data-end=""737"">• Skin-friendly and comfortable for everyday wear.<br data-start=""787"" data-end=""790"">• Every hamper is carefully handpicked and beautifully packed by House of Yeashi.</p>
<h3 data-start=""873"" data-end=""888"">Please Note</h3>
<p data-start=""890"" data-end=""1134"">• The products shown in the images are for reference only.<br data-start=""948"" data-end=""951"">• You may not receive the exact same designs as shown.<br data-start=""1005"" data-end=""1008"">• Every hamper is hand-curated using our bestselling, premium-quality pieces, ensuring you receive the best quality and value.</p>
<h3 data-start=""1136"" data-end=""1161"">Personalise Your Gift</h3>
<p data-start=""1163"" data-end=""1304"">• You can add a personalised message by mentioning it in the <strong data-start=""1224"" data-end=""1239"">Order Notes</strong> at checkout, and we'll include it with your Raksha Bandhan card.</p>",House of Yeashi,,Rakshabandhan,Rakshabandhan,true,Title,Default Title,,,,,,,,,0.0,shopify,4,deny,manual,1599.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2210.png?v=1785068789,1,"",false,,,,,,,,,,,,,,,,,kg,,2199.00,active
untitled-jul19_19-21-20,Untitled Jul19_19:21:20,,House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,kg,,,draft
blush-clover-charm-necklace,Blush Clover Charm Necklace,"<h4 data-start=""938"" data-end=""954""></h4>
<ul data-start=""955"" data-end=""1184"">
<li data-start=""984"" data-end=""1013"">🌸 Pink clover enamel charm</li>
<li data-start=""1014"" data-end=""1052"">💎 Sparkling solitaire crystal charm</li>
<li data-start=""1053"" data-end=""1098"">💛 Lightweight &amp; comfortable for daily wear</li>
<li data-start=""1099"" data-end=""1140"">📏 Adjustable chain for the perfect fit</li>
<li data-start=""1141"" data-end=""1184"">🎁 Perfect for gifting &amp; everyday styling</li>
</ul>
<p data-start=""1186"" data-end=""1330"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""1186"" data-end=""1200"">Style Tip:</strong> Pair it with a simple white shirt, satin dress, or layer it with other dainty gold necklaces for a chic, Pinterest-inspired look.</p>",House of Yeashi,Apparel & Accessories > Jewelry,Necklace,Jewellery,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,450.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-1234.png?v=1784114033,1,"",false,,,,,,,,stainless-steel; gold-plated,,,,,,,,,kg,,115.00,active
blush-clover-charm-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-1233.png?v=1784114033,2,"",,,,,,,,,,,,,,,,,,,,,
luna-owl-charm-necklace,Luna Owl Charm Necklace,"<p><span>Carry love and wisdom wherever you go. This elegant charm necklace combines a radiant heart with a sparkling owl, symbolising love, intuition, and strength. Finished on a sleek gold chain, it's a meaningful piece you'll reach for every day.</span></p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,450.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-1232.png?v=1784112281,1,"",false,,,,,,,,,,,,,,,,,kg,,115.00,active
luna-owl-charm-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-1231.png?v=1784112281,2,"",,,,,,,,,,,,,,,,,,,,,
mystery-jars,Mystery Jars,"<p>🎀 1. TRIAL MYSTERY JAR – ₹599<br>Best for trying the Mystery Jar experience 💛<br>Our Trial Mystery Jar is perfect if you want to experience the concept without spending too much.<br>Inside, you’ll receive 4–5 handpicked jewellery pieces, including one hair accessory — all designed to be cute, wearable, and perfect for everyday styling ✨<br>Every piece is selected from our collection to give you a mix of dainty and trendy designs you’ll actually love wearing.<br>✔️ Perfect to try our Mystery Jar concept<br>✔️ Everyday jewellery pieces<br>✔️ All anti-tarnish products<br>A little surprise to make you smile 💌</p>
<p><br>🎀 2. MINI MYSTERY JAR – ₹1199<br>Everyday pieces, more variety ✨<br>Our Mini Mystery Jar is designed for those who want more variety and styling options.<br>You’ll receive 7–8 jewellery pieces, including one hair accessory, with a mix of necklaces, rings, earrings, bracelets and more 🎀<br>Each piece is handpicked to ensure you get a balanced collection of everyday jewellery that you can style across outfits.<br>✔️ More pieces, more combinations<br>✔️ Perfect for daily wear &amp; styling<br>✔️ Includes a mix of all jewellery categories<br>Everyday pieces, everyday you 💛</p>
<p><br>🎀 3. BIG MYSTERY JAR – ₹3500<br>More pieces. More styles. More to love 💖<br>Our Big Mystery Jar is where the experience gets more exciting ✨<br>Inside, you’ll receive 12–13 handpicked jewellery pieces, including 1 watch guaranteed, along with a variety of necklaces, rings, earrings, bracelets and accessories.<br>This jar is perfect if you want a complete jewellery upgrade with both everyday and slightly premium pieces.<br>✔️ 1 watch guaranteed<br>✔️ Wider variety of styles<br>✔️ Perfect for building your collection<br>More pieces, more styles, more reasons to love 💛</p>
<p><br>🎀 4. LIMITED SIGNATURE EDITION JAR – ₹6000<br>The ultimate Mystery Jar experience ✨<br>This is our most premium and exclusive Mystery Jar — created for those who want the full experience.<br>Inside, you’ll receive 26 handpicked BESTSELLING jewellery pieces, including 2 watches guaranteed — our Serpent Watch &amp; Vintage Watch ⌚✨<br>Every piece in this jar is curated from our most loved designs to give you maximum value, variety and surprise in one box.<br>✔️ 26 bestselling jewellery pieces<br>✔️ 2 watches guaranteed<br>✔️ Premium, high-value collection<br>The real magic of Mystery begins here 💫<br>⚠️ Limited batch only</p>",House of Yeashi,Apparel & Accessories > Jewelry > Jewelry Sets,"","",true,Jar Type,Trial Jar,,,,,,,,,0.0,shopify,10,deny,manual,599.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/WhatsAppImage2026-07-11at5.53.50PM.jpg?v=1783773425,1,"",false,,,,,,,,,imitation-jewelry,,,,,,,,kg,,,active
mystery-jars,,,,,,,,,Mini Jar,,,,,,,,,0.0,shopify,10,deny,manual,1199.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
mystery-jars,,,,,,,,,Big Mystery Jar,,,,,,,,,0.0,shopify,5,deny,manual,3500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
mystery-jars,,,,,,,,,Limited Edition Signature Jar,,,,,,,,,0.0,shopify,5,deny,manual,6000.00,7000.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ruby-blossom-bracelet,Ruby Blossom Bracelet,"<p data-start=""473"" data-end=""610"">Crafted from premium stainless steel with luxurious <strong data-start=""525"" data-end=""549"">18K PVD gold plating</strong>, it is designed for long-lasting shine and everyday comfort.</p>
<p data-start=""612"" data-end=""625""><strong data-start=""612"" data-end=""625"">Features:</strong></p>
<ul data-start=""626"" data-end=""890"">
<li data-start=""626"" data-end=""663"">❤️ Floral-inspired statement design</li>
<li data-start=""664"" data-end=""700"">✨ Sparkling zircon stone detailing</li>
<li data-start=""701"" data-end=""735"">🌸 Vibrant ruby-red center stone</li>
<li data-start=""736"" data-end=""776"">💛 18K PVD Gold Plated Stainless Steel</li>
<li data-start=""777"" data-end=""807"">💧 Waterproof &amp; Anti-Tarnish</li>
<li data-start=""808"" data-end=""843"">🌿 Hypoallergenic &amp; Skin-Friendly</li>
<li data-start=""844"" data-end=""890"">🎁 Perfect for gifting and special occasions</li>
</ul>
<p data-start=""892"" data-end=""971"" data-is-last-node="""" data-is-only-node="""">A graceful statement piece that effortlessly blends elegance with modern charm</p>",House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,Bracelet,bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,1199.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0789.png?v=1783525312,1,"",false,,,,,,golden; gold,,stainless-steel; gold-plated,,,,,,,,,kg,,290.00,active
ruby-blossom-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0788.png?v=1783525312,2,"",,,,,,,,,,,,,,,,,,,,,
rose-charm-necklace,Rosè Charm Necklace,"<p><span>A timeless necklace featuring a blush-pink emerald-cut crystal pendant set in a sleek gold-tone frame, suspended from a delicate snake chain. Its clean, minimalist design adds a subtle touch of elegance, making it perfect for everyday wear as well as special occasions.</span></p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,3,deny,manual,450.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0173.png?v=1782749503,1,"",false,,,,,,,,,,,,,,,,,kg,,72.00,active
rose-charm-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0174.png?v=1782749504,2,"",,,,,,,,,,,,,,,,,,,,,
eterna-orbit-necklace,Eterna Orbit Necklace,"<p data-start=""60"" data-end=""362"">Timeless, elegant, and effortlessly versatile, the <strong data-start=""111"" data-end=""136"">Eterna Orbit Necklace</strong> features a sleek interlocking circular pendant that symbolizes connection, balance, and endless possibilities. Its minimalist design makes it perfect for everyday wear, whether worn alone or layered with your favorite pieces.</p>
<ul data-start=""364"" data-end=""606"">
<li data-start=""364"" data-end=""406"">✨ Minimalist interlocking circle pendant</li>
<li data-start=""407"" data-end=""436"">💛 Elegant gold-tone finish</li>
<li data-start=""437"" data-end=""486"">📏 Adjustable chain length for a customized fit</li>
<li data-start=""487"" data-end=""536"">🌼 Lightweight and comfortable for all-day wear</li>
<li data-start=""537"" data-end=""606"">💫 Perfect for daily styling, work, brunches, and special occasions</li>
</ul>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0164.png?v=1782746104,1,"",false,,,,,,,,,,,,,,,,,kg,,105.00,active
eterna-orbit-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0163.png?v=1782746104,2,"",,,,,,,,,,,,,,,,,,,,,
champagne-glow-necklace,Champagne Glow Necklace,"<p> </p>
<li data-start=""363"" data-end=""381"">Gold-tone finish</li>
<li data-start=""382"" data-end=""421"">Emerald-cut champagne crystal pendant</li>
<li data-start=""445"" data-end=""484"">Adjustable length for the perfect fit</li>
<li data-start=""485"" data-end=""529"">Lightweight and comfortable for daily wear</li>
<li data-start=""530"" data-end=""577"">Style with western, ethnic, or fusion outfits</li>
<p> </p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,4,deny,manual,375.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0152.png?v=1782744452,1,"",false,,,,,,,,,,,,,,,,,kg,,72.00,active
champagne-glow-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0151.png?v=1782744453,2,"",,,,,,,,,,,,,,,,,,,,,
champagne-glow-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0153_720ecf8d-0591-485b-b3af-3aa17e0e62fb.png?v=1782744498,3,"",,,,,,,,,,,,,,,,,,,,,
aurum-arc-necklace,Aurum Arc Necklace,"<p data-start=""671"" data-end=""889"">✨ Elegant textured curved pendant<br data-start=""704"" data-end=""707"">✨ Sleek gold-tone snake chain<br data-start=""736"" data-end=""739"">✨ Lightweight and comfortable for all-day wear<br data-start=""785"" data-end=""788"">✨ Adjustable chain for your preferred fit<br data-start=""829"" data-end=""832"">✨ Perfect for casual styling, workwear, and evening looks</p>
<p data-start=""891"" data-end=""1010""><strong data-start=""891"" data-end=""913"">Care Instructions:</strong> Keep away from perfumes, and harsh chemicals. Store in a dry place to maintain its shine.</p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,4,deny,manual,450.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0145.png?v=1782743502,1,"",false,,,,,,,,,,,,,,,,,kg,,98.00,active
aurum-arc-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0144.png?v=1782743502,2,"",,,,,,,,,,,,,,,,,,,,,
infinite-grace-necklace,Infinite Grace Necklace,"<p data-start=""62"" data-end=""327"">A timeless symbol of forever, the <strong data-start=""96"" data-end=""123"">Infinite Grace Necklace</strong> features a sleek infinity pendant accented with a sparkling crystal for an elegant touch. Its minimalist design makes it perfect for everyday wear, whether worn solo or layered with your favorite pieces.</p>
<p data-start=""329"" data-end=""498"">✨ Lightweight &amp; elegant<br data-start=""352"" data-end=""355"">✨ Adjustable chain for the perfect fit<br data-start=""393"" data-end=""396"">✨ Perfect for daily wear and gifting<br data-start=""432"" data-end=""435"">✨ A meaningful symbol of endless love, strength, and connection</p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,450.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0127.png?v=1782740899,1,"",false,,,'1,,,,,metal,,,,,,,,,kg,,72.00,active
infinite-grace-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0128.png?v=1782740901,2,"",,,,,,,,,,,,,,,,,,,,,
flutter-grace-drop-necklace,Flutter Grace Drop Necklace,"<p data-start=""66"" data-end=""462"">Delicate, feminine, and effortlessly elegant, the <strong data-start=""116"" data-end=""147"">Flutter Grace Drop Necklace</strong> features a charming butterfly centerpiece with shimmering crystal accents, paired with a dainty solitaire drop and a graceful butterfly charm that creates a sophisticated lariat silhouette. Perfect for everyday wear as well as special occasions, this versatile piece adds a subtle touch of sparkle to every outfit.</p>
<p data-start=""464"" data-end=""643"">✨ Adjustable chain length for a comfortable fit<br data-start=""511"" data-end=""514"">✨ Lightweight and easy to style<br data-start=""545"" data-end=""548"">✨ Elegant butterfly and crystal detailing<br data-start=""589"" data-end=""592"">✨ Ideal for gifting or elevating your everyday look</p>
<p data-start=""645"" data-end=""734"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""645"" data-end=""654"">Care:</strong> Keep away from water, perfumes, and harsh chemicals to help preserve its shine.</p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,375.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0033.png?v=1782647999,1,"",false,,,,,,,,,,,,,,,,,kg,,95.00,active
flutter-grace-drop-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0036.png?v=1782647999,2,"",,,,,,,,,,,,,,,,,,,,,
carnival-charm-necklace,Carnival Charm Necklace,"<p data-start=""13"" data-end=""40""> </p>
<p data-start=""62"" data-end=""432"">Bring a playful pop of colour to your everyday style with the <strong data-start=""124"" data-end=""151"">Carnival Charm Necklace</strong>. Designed with a delicate gold-tone chain, dainty gold bead accents, and vibrant multicoloured stone charms, this necklace adds effortless charm to both casual and dressy looks. Wear it solo for a minimal statement or layer it with your favourite chains for a chic, curated stack.</p>
<ul data-start=""434"" data-end=""652"">
<li data-start=""434"" data-end=""475"">✨ Adjustable length for the perfect fit</li>
<li data-start=""476"" data-end=""525"">💛 Lightweight and comfortable for all-day wear</li>
<li data-start=""526"" data-end=""584"">🌈 Multicoloured stone accents for a fresh, vibrant look</li>
<li data-start=""585"" data-end=""652"">👗 Perfect for everyday styling, brunches, vacations, and gifting</li>
</ul>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0028.png?v=1782646662,1,"",false,,,,,,,,,,,,,,,,,kg,,105.00,active
carnival-charm-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0027.png?v=1782646662,2,"",,,,,,,,,,,,,,,,,,,,,
adjustable-geo-heart-necklace,Adjustable Geo Heart Necklace,"<ul data-start=""335"" data-end=""642"">
<li data-start=""335"" data-end=""384"">✨ Adjustable chain length for a customized fit.</li>
<li data-start=""385"" data-end=""441"">💛 Modern geometric design with a polished heart drop.</li>
<li data-start=""442"" data-end=""492"">🌸 Lightweight and comfortable for all-day wear.</li>
<li data-start=""493"" data-end=""572"">👗 Perfect for everyday styling, office wear, parties, and special occasions.</li>
<li data-start=""573"" data-end=""642"">🎁 A thoughtful gift for birthdays, anniversaries, or just because.</li>
</ul>
<p data-start=""644"" data-end=""763"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""644"" data-end=""653"">Care:</strong><br data-start=""653"" data-end=""656"">Keep away from perfumes, and harsh chemicals. Store in a dry place to preserve its shine and finish.</p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,5,deny,manual,500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0015.png?v=1782644549,1,"",false,,,,,,,,stainless-steel; gold-plated,,,,,,,,,kg,,85.00,active
adjustable-geo-heart-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0016.png?v=1782644549,2,"",,,,,,,,,,,,,,,,,,,,,
adjustable-clover-cascade-necklace,Adjustable Clover Cascade Necklace,"<p data-start=""60"" data-end=""304"">A timeless lariat-style necklace featuring two elegant open clover motifs that add a touch of effortless sophistication to every outfit. Its delicate silhouette makes it perfect for everyday wear as well as special occasions.</p>
<p data-start=""306"" data-end=""321"">✨ <strong data-start=""308"" data-end=""321"">Features:</strong></p>
<ul data-start=""322"" data-end=""517"">
<li data-start=""322"" data-end=""385"">Adjustable chain length for a customized and comfortable fit.</li>
<li data-start=""386"" data-end=""426"">Lightweight and elegant lariat design.</li>
<li data-start=""427"" data-end=""472"">Perfect for layering or wearing on its own.</li>
<li data-start=""473"" data-end=""517"">Ideal for both western and ethnic outfits.</li>
</ul>
<p data-start=""519"" data-end=""625"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""519"" data-end=""528"">Care:</strong> Keep away from perfumes, and harsh chemicals. Store in a dry place to maintain its shine.</p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,450.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0012.png?v=1782644087,1,"",false,,,,,,,,,,,,,,,,,kg,,85.00,active
adjustable-clover-cascade-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-0013.png?v=1782644087,2,"",,,,,,,,,,,,,,,,,,,,,
