CSV Row,Handle,Title,Status,Variant SKU,Option1 Value,Before Price,Before Compare At Price,Original Price Used,After Price (40% off),After Compare At Price,Calculation Basis
230,pearl-heart-stud,Pearl Heart Stud,active,,Default Title,450.00,500.00,500.00,300.00,500.00,Existing positive compare-at price
232,crystal-solitaire-ring,Crystal solitaire ring,active,,Default Title,350.00,,350.00,210.00,350.00,Current variant price
234,heart-of-gold-hoops,Heart of Gold hoops,active,,Default Title,350.00,0.00,350.00,210.00,350.00,Current variant price
235,star-drop-earrings,Star Drop Earrings,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
237,forever-heart-tennis-bracelet,Forever Heart Tennis Bracelet,active,,Default Title,499.00,,499.00,299.40,499.00,Current variant price
240,white-heart-necklace,White Heart Necklace,active,,Default Title,500.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
244,crystal-heart-grace-necklace,Crystal Heart Grace Necklace,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
247,solitaire-necklace,Solitaire Necklace,active,,Default Title,475.00,,475.00,285.00,475.00,Current variant price
249,trinity-of-love-necklace,Trinity of Love Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
252,heart-of-gold,Heart of Gold,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
254,no-nazar-glass-bangle,No Nazar Glass Bangle,active,,Default Title,499.00,0.00,499.00,299.40,499.00,Current variant price
259,star-wood-cuff,Star wood cuff,active,,Default Title,250.00,400.00,400.00,240.00,400.00,Existing positive compare-at price
262,ivory-stud-wood-cuff,Ivory Wood Cuff Bangle,active,,Default Title,350.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
268,bloom-sutra,Anaya Sutra,active,,Default Title,375.00,,375.00,225.00,375.00,Current variant price
271,no-nazar-earrings,No Nazar Earrings,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
